AccountName,AccountId,Environment,Region,VolumeId,VolumeType,SizeGiB,Encrypted,Iops,Throughput,State,IsUnattached,AttachedInstanceId,AttachedInstanceType,AttachedInstanceArn,AttachedInstanceLaunchTime,IsRootVolume
Charles Mount,198161015548,prod-finance,us-east-1,vol-03fb82f27882d5be3,gp3,30,False,3000,125,in-use,False,i-0bafd0f85880cfc37,t3.medium,arn:aws:ec2:us-east-1:198161015548:instance/i-0bafd0f85880cfc37,2023-10-23T21:19:24+00:00,True
Charles Mount,198161015548,ops,us-east-1,vol-03ae17594d49d4216,gp3,200,True,3000,150,in-use,False,i-000051928735a1912,m5a.xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-000051928735a1912,2021-08-13T19:02:21+00:00,True
Charles Mount,198161015548,ops,us-east-1,vol-0c2c2c7938629d7fe,gp3,100,True,3000,125,in-use,False,i-00866c38318c69753,c4.xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-00866c38318c69753,2021-08-06T19:17:38+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-0832bc602052d1392,gp3,2048,False,6144,250,in-use,False,i-059b953a2e312a39c,c4.4xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-059b953a2e312a39c,2022-09-29T18:40:52+00:00,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-08135236cabc40507,gp3,100,True,3000,125,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-097bf20f0407e7fd9,gp3,105,False,3000,125,in-use,False,i-05bc73a0c7e562ce0,m3.medium,arn:aws:ec2:us-east-1:198161015548:instance/i-05bc73a0c7e562ce0,2023-01-18T17:17:55+00:00,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-0159e4f440dde8be5,gp3,30,False,3000,125,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-064bd9f39148de0f6,gp3,6144,False,3000,125,in-use,False,i-01008e20280904c67,r5a.large,arn:aws:ec2:us-east-1:198161015548:instance/i-01008e20280904c67,2024-05-06T20:18:24+00:00,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-05c39509e32abdeae,gp3,100,False,3000,125,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-09141d53b5d0abde9,gp2,30,False,100,,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-03d800afea33a9caf,gp3,20,False,3000,125,in-use,False,i-0c1358c5d58d9527a,t2.medium,arn:aws:ec2:us-east-1:198161015548:instance/i-0c1358c5d58d9527a,2023-10-31T17:32:35+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-0c9e84b11d1b21a6b,gp3,50,False,3000,125,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-0492c454b8b4ab619,gp3,100,False,3000,125,in-use,False,i-01400e7184ad7c200,c4.4xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-01400e7184ad7c200,2022-09-29T18:29:09+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-ae374502,gp3,20,False,3000,125,in-use,False,i-d07743c7,m3.medium,arn:aws:ec2:us-east-1:198161015548:instance/i-d07743c7,2021-04-04T21:31:40+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-0c5a07a9500cef3b5,gp2,30,False,100,,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-0bc403f5d6cd362c0,gp3,100,False,3000,125,in-use,False,i-09abb9e2cfa017272,t2.medium,arn:aws:ec2:us-east-1:198161015548:instance/i-09abb9e2cfa017272,2024-11-05T18:58:10+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-9ad6787a,gp3,2000,False,6000,250,in-use,False,i-53d3da86,m3.xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-53d3da86,2023-11-28T02:34:45+00:00,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-0bd416004da427a74,gp3,3000,False,9000,250,in-use,False,i-0f4443498033bdbf8,m4.xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-0f4443498033bdbf8,2021-04-02T22:45:19+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-0170ec57cd44d67b3,sc1,3072,False,,,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-0a29d0328c5f5b457,gp3,2048,False,3000,125,in-use,False,i-043114ca52c5e8164,c4.4xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-043114ca52c5e8164,2022-10-18T15:13:59+00:00,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-093dd0ca5f627f999,gp3,30,False,3000,125,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-04c5fc41b22e819d7,sc1,6144,False,,,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-0c53908acd7ed4e23,gp3,100,False,3000,125,in-use,False,i-060098e5e6b5ad472,t2.medium,arn:aws:ec2:us-east-1:198161015548:instance/i-060098e5e6b5ad472,2022-11-25T16:26:29+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-0564a0474f61bac91,gp3,8,False,3000,125,in-use,False,i-0d106f55f0dd4fcdc,t2.micro,arn:aws:ec2:us-east-1:198161015548:instance/i-0d106f55f0dd4fcdc,2022-09-12T21:31:10+00:00,True
